SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
174520,5719097,Active,currency 1,-81,0,103.0,,,0,59175.0,50112.0,0.0,0.0,Consumer credit,-44,9427.5
174520,5719098,Closed,currency 1,-681,0,-466.0,-466.0,0.0,0,35510.4,0.0,0.0,0.0,Consumer credit,-322,
174520,5719099,Closed,currency 1,-857,0,-492.0,-492.0,0.0,0,59512.32,0.0,0.0,0.0,Consumer credit,-322,
290503,6026348,Closed,currency 1,-2691,0,-2325.0,-2386.0,0.0,0,80707.5,0.0,0.0,0.0,Consumer credit,-2386,
233797,6571891,Closed,currency 1,-473,0,-16.0,-9.0,,0,466884.0,,,0.0,Consumer credit,-5,0.0
233797,6571892,Closed,currency 1,-391,0,,-222.0,0.0,0,157500.0,0.0,0.0,0.0,Credit card,-216,
233797,6571893,Closed,currency 1,-1398,0,-1236.0,-1236.0,0.0,0,120537.0,,,0.0,Consumer credit,-1230,
325899,6559530,Closed,currency 1,-439,0,1256.0,-195.0,,0,4500.0,0.0,,0.0,Credit card,-12,
325899,6559531,Active,currency 1,-2606,0,30872.0,,,0,540000.0,0.0,540000.0,0.0,Credit card,-12,
325899,6559532,Active,currency 1,-447,0,1407.0,,,0,306000.0,233795.475,72204.525,0.0,Credit card,-12,
325899,6559533,Closed,currency 1,-761,0,-426.0,-455.0,,0,47214.36,0.0,,0.0,Consumer credit,-12,
325899,6559534,Closed,currency 1,-1234,0,616.0,-353.0,,0,400500.0,0.0,,0.0,Credit card,-12,
